날짜,요일,홈,방문,구장,관중수
2025/03/22,토,KT,한화,수원,"18,700"
2025/03/22,토,LG,롯데,잠실,"23,750"
2025/03/22,토,KIA,NC,광주,"20,500"
2025/03/22,토,SSG,두산,문학,"23,000"
2025/03/22,토,삼성,키움,대구,"24,000"
2025/03/23,일,KT,한화,수원,"18,700"
2025/03/23,일,LG,롯데,잠실,"23,750"
2025/03/23,일,KIA,NC,광주,"20,500"
2025/03/23,일,SSG,두산,문학,"23,000"
2025/03/23,일,삼성,키움,대구,"24,000"
2025/03/25,화,LG,한화,잠실,"23,750"
2025/03/25,화,SSG,롯데,문학,"13,860"
2025/03/25,화,삼성,NC,대구,"21,024"
2025/03/25,화,KT,두산,수원,"8,141"
2025/03/25,화,KIA,키움,광주,"15,053"
2025/03/26,수,LG,한화,잠실,"23,750"
2025/03/26,수,SSG,롯데,문학,"14,855"
2025/03/26,수,삼성,NC,대구,"24,000"
2025/03/26,수,KT,두산,수원,"9,607"
2025/03/26,수,KIA,키움,광주,"17,780"
2025/03/27,목,LG,한화,잠실,"23,750"
2025/03/27,목,SSG,롯데,문학,"14,155"
2025/03/27,목,삼성,NC,대구,"20,781"
2025/03/27,목,KT,두산,수원,"9,024"
2025/03/27,목,KIA,키움,광주,"12,288"
2025/03/28,금,한화,KIA,대전,"17,000"
2025/03/28,금,롯데,KT,사직,"22,665"
2025/03/28,금,NC,LG,창원,"15,510"
2025/03/28,금,키움,SSG,고척,"11,002"
2025/03/28,금,두산,삼성,잠실,"23,750"
2025/03/29,토,한화,KIA,대전,"17,000"
2025/03/29,토,롯데,KT,사직,"22,665"
2025/03/29,토,NC,LG,창원,"17,943"
2025/03/29,토,키움,SSG,고척,"13,785"
2025/03/29,토,두산,삼성,잠실,"23,750"
2025/03/30,일,한화,KIA,대전,"17,000"
2025/03/30,일,롯데,KT,사직,"22,665"
2025/03/30,일,키움,SSG,고척,"13,081"
2025/03/30,일,두산,삼성,잠실,"23,750"
2025/04/02,수,KT,LG,수원,"7,829"
2025/04/02,수,한화,롯데,대전,"16,252"
2025/04/02,수,KIA,삼성,광주,"12,172"
2025/04/02,수,두산,키움,잠실,"8,336"
2025/04/03,목,KT,LG,수원,"8,627"
2025/04/03,목,한화,롯데,대전,"16,559"
2025/04/03,목,KIA,삼성,광주,"12,826"
2025/04/03,목,두산,키움,잠실,"9,131"
2025/04/04,금,삼성,한화,대구,"24,000"
2025/04/04,금,LG,KIA,잠실,"23,750"
2025/04/04,금,SSG,KT,문학,"13,323"
2025/04/04,금,키움,NC,고척,"5,161"
2025/04/04,금,롯데,두산,사직,"17,293"
2025/04/05,토,삼성,한화,대구,"24,000"
2025/04/05,토,키움,NC,고척,"8,895"
2025/04/05,토,롯데,두산,사직,"21,807"
2025/04/06,일,삼성,한화,대구,"24,000"
2025/04/06,일,LG,KIA,잠실,"23,750"
2025/04/06,일,SSG,KT,문학,"18,679"
2025/04/06,일,키움,NC,고척,"7,041"
2025/04/06,일,롯데,두산,사직,"22,665"
2025/04/08,화,두산,한화,잠실,"20,986"
2025/04/08,화,롯데,KIA,사직,"14,038"
2025/04/08,화,키움,LG,고척,"10,452"
2025/04/08,화,KT,NC,수원,"5,233"
2025/04/08,화,삼성,SSG,대구,"19,327"
2025/04/09,수,두산,한화,잠실,"19,300"
2025/04/09,수,롯데,KIA,사직,"13,551"
2025/04/09,수,키움,LG,고척,"9,967"
2025/04/09,수,KT,NC,수원,"3,667"
2025/04/09,수,삼성,SSG,대구,"20,632"
2025/04/10,목,두산,한화,잠실,"21,561"
2025/04/10,목,롯데,KIA,사직,"13,726"
2025/04/10,목,키움,LG,고척,"10,627"
2025/04/10,목,KT,NC,수원,"5,086"
2025/04/10,목,삼성,SSG,대구,"21,291"
2025/04/11,금,NC,롯데,사직,"13,728"
2025/04/11,금,LG,두산,잠실,"23,750"
2025/04/11,금,KIA,SSG,광주,"20,500"
2025/04/11,금,KT,삼성,수원,"17,416"
2025/04/11,금,한화,키움,대전,"17,000"
2025/04/12,토,NC,롯데,사직,"15,222"
2025/04/12,토,LG,두산,잠실,"22,938"
2025/04/12,토,한화,키움,대전,"15,457"
2025/04/13,일,NC,롯데,사직,"21,003"
2025/04/13,일,LG,두산,잠실,"23,750"
2025/04/13,일,KIA,SSG,광주,"20,500"
2025/04/13,일,KT,삼성,수원,"18,700"
2025/04/13,일,한화,키움,대전,"17,000"
2025/04/15,화,SSG,한화,문학,"15,618"
2025/04/15,화,KIA,KT,광주,"10,979"
2025/04/15,화,LG,삼성,잠실,"23,750"
2025/04/15,화,롯데,키움,사직,"9,714"
2025/04/16,수,SSG,한화,문학,"16,785"
2025/04/16,수,KIA,KT,광주,"12,423"
2025/04/16,수,LG,삼성,잠실,"23,750"
2025/04/16,수,롯데,키움,사직,"11,679"
2025/04/17,목,SSG,한화,문학,"18,098"
2025/04/17,목,KIA,KT,광주,"12,104"
2025/04/17,목,LG,삼성,잠실,"23,750"
2025/04/17,목,롯데,키움,사직,"11,812"
2025/04/18,금,두산,KIA,잠실,"23,750"
2025/04/18,금,키움,KT,고척,"4,666"
2025/04/18,금,SSG,LG,문학,"18,091"
2025/04/18,금,삼성,롯데,대구,"24,000"
2025/04/18,금,한화,NC,대전,"17,000"
2025/04/19,토,두산,KIA,잠실,"23,750"
2025/04/19,토,키움,KT,고척,"8,281"
2025/04/19,토,SSG,LG,문학,"18,727"
2025/04/19,토,삼성,롯데,대구,"24,000"
2025/04/19,토,한화,NC,대전,"17,000"
2025/04/20,일,두산,KIA,잠실,"23,750"
2025/04/20,일,키움,KT,고척,"6,859"
2025/04/20,일,SSG,LG,문학,"23,000"
2025/04/20,일,삼성,롯데,대구,"24,000"
2025/04/20,일,한화,NC,대전,"17,000"
2025/04/22,화,LG,NC,잠실,"12,941"
2025/04/22,화,키움,두산,고척,"6,809"
2025/04/22,화,KT,SSG,수원,"5,497"
2025/04/23,수,롯데,한화,사직,"19,376"
2025/04/23,수,삼성,KIA,대구,"22,257"
2025/04/23,수,LG,NC,잠실,"17,828"
2025/04/23,수,키움,두산,고척,"6,801"
2025/04/23,수,KT,SSG,수원,"7,581"
2025/04/24,목,롯데,한화,사직,"22,669"
2025/04/24,목,삼성,KIA,대구,"24,000"
2025/04/24,목,LG,NC,잠실,"19,325"
2025/04/24,목,키움,두산,고척,"7,690"
2025/04/24,목,KT,SSG,수원,"7,815"
2025/04/25,금,한화,KT,대전,"17,000"
2025/04/25,금,KIA,LG,광주,"20,500"
2025/04/25,금,두산,롯데,잠실,"23,750"
2025/04/25,금,삼성,NC,대구,"24,000"
2025/04/25,금,SSG,키움,문학,"12,140"
2025/04/26,토,한화,KT,대전,"17,000"
2025/04/26,토,KIA,LG,광주,"20,500"
2025/04/26,토,두산,롯데,잠실,"23,750"
2025/04/26,토,삼성,NC,대구,"24,000"
2025/04/26,토,SSG,키움,문학,"18,641"
2025/04/27,일,한화,KT,대전,"17,000"
2025/04/27,일,KIA,LG,광주,"20,500"
2025/04/27,일,두산,롯데,잠실,"23,750"
2025/04/27,일,삼성,NC,대구,"24,000"
2025/04/27,일,SSG,키움,문학,"16,422"
2025/04/29,화,두산,KT,잠실,"14,138"
2025/04/29,화,한화,LG,대전,"17,000"
2025/04/29,화,키움,롯데,고척,"13,203"
2025/04/29,화,KIA,NC,광주,"10,575"
2025/04/29,화,SSG,삼성,문학,"15,481"
2025/04/30,수,두산,KT,잠실,"17,158"
2025/04/30,수,한화,LG,대전,"17,000"
2025/04/30,수,키움,롯데,고척,"14,367"
2025/04/30,수,KIA,NC,광주,"15,139"
2025/04/30,수,SSG,삼성,문학,"18,998"
2025/05/01,목,두산,KT,잠실,"19,883"
2025/05/01,목,키움,롯데,고척,"16,000"
2025/05/01,목,SSG,삼성,문학,"22,993"
2025/05/02,금,KIA,한화,광주,"20,500"
2025/05/02,금,롯데,NC,사직,"22,669"
2025/05/02,금,삼성,두산,대구,"24,000"
2025/05/02,금,LG,SSG,잠실,"23,750"
2025/05/02,금,KT,키움,수원,"12,275"
2025/05/03,토,롯데,NC,사직,"22,669"
